iter	Passed	Remaining
598	7551	5055
599	7563	5042
600	7573	5028
601	7583	5013
602	7598	5002
603	7610	4989
604	7621	4975
605	7634	4963
606	7658	4958
607	7692	4959
608	7711	4951
609	7729	4942
610	7740	4928
611	7753	4915
612	7765	4902
613	7776	4888
614	7791	4877
615	7803	4864
616	7814	4850
617	7823	4835
618	7836	4823
619	7847	4809
620	7857	4795
621	7869	4782
622	7881	4769
623	7893	4756
624	7903	4742
625	7918	4731
626	7930	4717
627	7940	4703
628	7951	4689
629	7962	4676
630	7973	4662
631	7982	4648
632	7997	4636
633	8008	4623
634	8018	4609
635	8030	4596
636	8041	4582
637	8053	4569
638	8062	4554
639	8075	4542
640	8087	4529
641	8096	4515
642	8106	4500
643	8119	4488
644	8130	4474
645	8141	4461
646	8156	4450
647	8168	4436
648	8178	4423
649	8188	4408
650	8202	4397
651	8215	4384
652	8225	4371
653	8236	4357
654	8248	4344
655	8258	4330
656	8268	4316
657	8280	4303
658	8291	4290
659	8300	4276
660	8314	4264
661	8329	4252
662	8340	4239
663	8349	4225
664	8363	4213
665	8377	4201
666	8389	4188
667	8399	4174
668	8412	4162
669	8423	4148
670	8437	4137
671	8448	4123
672	8458	4109
673	8473	4098
674	8485	4085
675	8497	4072
676	8507	4058
677	8522	4047
678	8535	4035
679	8547	4022
680	8557	4008
681	8569	3995
682	8579	3982
683	8589	3968
684	8603	3956
685	8615	3943
686	8628	3931
687	8639	3917
688	8649	3904
689	8660	3891
690	8670	3877
691	8683	3864
692	8694	3851
693	8704	3838
694	8714	3824
695	8727	3811
696	8739	3799
697	8750	3785
698	8763	3773
699	8774	3760
700	8788	3748
701	8806	3738
702	8818	3725
703	8827	3711
704	8842	3699
705	8854	3687
706	8865	3674
707	8876	3660
708	8888	3648
709	8899	3634
710	8908	3621
711	8919	3607
712	8931	3595
713	8941	3581
714	8957	3570
715	8968	3557
716	8979	3544
717	8989	3530
718	9002	3518
719	9014	3505
720	9025	3492
721	9035	3479
722	9048	3466
723	9058	3453
724	9067	3439
725	9081	3427
726	9094	3415
727	9109	3403
728	9122	3391
729	9132	3377
730	9142	3364
731	9154	3351
732	9164	3338
733	9176	3325
734	9190	3313
735	9202	3300
736	9211	3287
737	9222	3274
738	9234	3261
739	9249	3249
740	9259	3236
741	9271	3223
742	9282	3210
743	9292	3197
744	9302	3184
745	9317	3172
746	9327	3159
747	9338	3145
748	9353	3134
749	9364	3121
750	9375	3108
751	9385	3095
752	9397	3082
753	9410	3070
754	9425	3058
755	9437	3045
756	9448	3033
757	9463	3021
758	9482	3010
759	9495	2998
760	9508	2986
761	9520	2973
762	9532	2960
763	9544	2948
764	9570	2940
765	9588	2929
766	9603	2917
767	9615	2904
768	9627	2891
769	9640	2879
770	9654	2867
771	9670	2856
772	9686	2844
773	9700	2832
774	9714	2820
775	9730	2808
776	9771	2804
777	9785	2792
778	9801	2780
779	9815	2768
780	9828	2756
781	9841	2743
782	9853	2730
783	9865	2718
784	9880	2706
785	9895	2694
786	9911	2682
787	9924	2670
788	9937	2657
789	9948	2644
790	9963	2632
791	9979	2620
792	9995	2609
793	10009	2596
794	10021	2584
795	10036	2572
796	10049	2559
797	10062	2547
798	10078	2535
799	10091	2522
800	10105	2510
801	10122	2499
802	10135	2486
803	10147	2473
804	10159	2460
805	10170	2447
806	10182	2435
807	10198	2423
808	10211	2410
809	10224	2398
810	10237	2385
811	10248	2372
812	10259	2359
813	10269	2346
814	10282	2334
815	10294	2321
816	10306	2308
817	10315	2295
818	10327	2282
819	10337	2269
820	10347	2256
821	10361	2243
822	10373	2230
823	10387	2218
824	10401	2206
825	10412	2193
826	10424	2180
827	10440	2168
828	10452	2155
829	10462	2142
830	10472	2129
831	10483	2116
832	10493	2103
833	10503	2090
834	10516	2078
835	10528	2065
836	10538	2052
837	10553	2040
838	10566	2027
839	10576	2014
840	10586	2001
841	10601	1989
842	10615	1976
843	10626	1964
844	10636	1951
845	10647	1938
846	10659	1925
847	10675	1913
848	10689	1901
849	10699	1888
850	10719	1876
851	10729	1863
852	10741	1851
853	10755	1838
854	10765	1825
855	10777	1813
856	10790	1800
857	10801	1787
858	10812	1774
859	10823	1761
860	10838	1749
861	10849	1736
862	10858	1723
863	10872	1711
864	10884	1698
865	10894	1685
866	10904	1672
867	10918	1660
868	10930	1647
869	10939	1634
870	10950	1621
871	10962	1609
872	10971	1596
873	10981	1583
874	10994	1570
875	11004	1557
876	11015	1544
877	11031	1532
878	11047	1520
879	11057	1507
880	11067	1494
881	11081	1482
882	11092	1469
883	11103	1457
884	11113	1444
885	11124	1431
886	11133	1418
887	11144	1405
888	11158	1393
889	11170	1380
890	11180	1367
891	11191	1354
892	11204	1342
893	11214	1329
894	11226	1317
895	11240	1304
896	11259	1292
897	11283	1281
898	11307	1270
899	11325	1258
900	11345	1246
901	11356	1233
902	11375	1221
903	11389	1209
904	11403	1197
905	11416	1184
906	11428	1171
907	11438	1158
908	11454	1146
909	11467	1134
910	11479	1121
911	11491	1108
912	11503	1096
913	11515	1083
914	11528	1070
915	11539	1058
916	11549	1045
917	11563	1032
918	11575	1020
919	11586	1007
920	11596	994
921	11610	982
922	11621	969
923	11631	956
924	11644	944
925	11657	931
926	11668	918
927	11677	906
928	11689	893
929	11701	880
930	11711	867
931	11726	855
932	11738	842
933	11749	830
934	11759	817
935	11773	805
936	11785	792
937	11798	779
938	11816	767
939	11826	754
940	11836	742
941	11851	729
942	11863	717
943	11874	704
944	11884	691
945	11896	679
946	11907	666
947	11917	653
948	11930	641
949	11941	628
950	11951	615
951	11965	603
952	11977	590
953	11987	578
954	11996	565
955	12009	552
956	12020	540
957	12030	527
958	12041	514
959	12053	502
960	12063	489
961	12073	476
962	12088	464
963	12099	451
964	12109	439
965	12123	426
966	12135	414
967	12146	401
968	12156	388
969	12170	376
970	12182	363
971	12191	351
972	12201	338
973	12213	326
974	12222	313
975	12233	300
976	12247	288
977	12258	275
978	12268	263
979	12283	250
980	12296	238
981	12307	225
982	12317	213
983	12331	200
984	12344	187
985	12355	175
986	12365	162
987	12377	150
988	12387	137
989	12397	125
990	12410	112
991	12422	100
992	12433	87
993	12446	75
994	12458	62
995	12468	50
996	12479	37
997	12496	25
998	12507	12
999	12519	0
